"resource_id";"member_id";"resource_title";"resource_type";"author";"publisher";"publish_year";"resource_language"
30;5;"""Why we have too few women leaders""";"""Speech""";"""Sheryl Sandberg""";"""""";"2010-12-21 00:00:00";"""English"""
60;4;"""Speeches by Women in Tech""";"""Speech""";"""Johanna Blakley""";"""""";"2011-02-02 00:00:00";"""English"""
109;3;"""Hidden Figures""";"""Drama Film""";"""Margot Lee Shetterly""";"""""";"2017-01-06 00:00:00";"""English"""
121;1;"""Brotopia: Breaking Up the Boys' Club of Silicon Valley by Emily Chang""";"""Book""";"""Emily Chang""";"""Portfolio; First Edition """;"2018-02-06 00:00:00";"""English"""
123;2;"""Female Innovators at Work: Women on Top of Tech by Danielle Newnham""";"""Book""";"""Danielle Newnham""";"""Apress; 1st ed. edition""";"2016-11-18 00:00:00";"""English"""
